"('mid',)","('genre',)"
tt0020697,Drama
tt0020697,Music
tt0020768,Drama
tt0020768,Romance
tt0020793,Crime
tt0020793,Drama
tt0020815,Action
tt0020815,Drama
tt0020815,War
tt0020827,Drama
tt0020827,Romance
tt0020836,Crime
tt0020836,Drama
tt0020876,Adventure
tt0020876,Comedy
tt0020876,Family
tt0020891,Drama
tt0020891,Musical
tt0020891,Romance
tt0020960,Drama
tt0020960,War
tt0021015,Comedy
tt0021015,Drama
tt0021025,Animation
tt0021025,Comedy
tt0021025,Musical
tt0021040,Drama
tt0021040,Romance
tt0021079,Action
tt0021079,Crime
tt0021079,Drama
tt0021106,Comedy
tt0021106,Drama
tt0021106,Musical
tt0021148,Comedy
tt0021148,Drama
tt0021153,Comedy
tt0021153,Musical
tt0021153,Romance
tt0021156,Drama
tt0021156,Romance
tt0021165,Crime
tt0021165,Mystery
tt0021165,Thriller
tt0021189,Comedy
tt0021189,Romance
tt0021309,Adventure
tt0021309,Animation
tt0021309,Comedy
tt0021331,Fantasy
tt0021409,Comedy
tt0021409,Drama
tt0021409,Musical
tt0021505,Crime
tt0021505,Drama
tt0021505,Romance
tt0021508,Comedy
tt0021508,Crime
tt0021508,Drama
tt0021542,Drama
tt0021542,Romance
tt0021542,War
tt0021549,Comedy
tt0021549,Musical
tt0021549,Romance
tt0021571,Drama
tt0021577,Comedy
tt0021577,Drama
tt0021622,Drama
tt0021633,Comedy
tt0021633,Drama
tt0021633,Romance
tt0021635,Drama
tt0021635,Romance
tt0021636,Drama
tt0021668,Crime
tt0021668,Mystery
tt0021668,Thriller
tt0021673,Comedy
tt0021673,Crime
tt0021673,Drama
tt0021730,Drama
tt0021730,Family
tt0021730,Sport
tt0021739,Crime
tt0021739,Drama
tt0021746,Drama
tt0021746,Western
tt0021749,Comedy
tt0021749,Drama
tt0021749,Romance
tt0021750,Crime
tt0021750,Drama
tt0021750,Film-Noir
tt0021770,Crime
tt0021770,Drama
tt0021770,Romance
tt0021778,Crime
tt0021778,Drama
tt0021778,Romance
tt0021800,Drama
tt0021800,Romance
tt0021800,War
tt0021814,Drama
tt0021814,Fantasy
tt0021814,Horror
tt0021815,Drama
tt0021815,Fantasy
tt0021815,Horror
tt0021818,Comedy
tt0021818,Crime
tt0021818,Drama
tt0021873,Crime
tt0021873,Drama
tt0021874,Drama
tt0021874,Romance
tt0021884,Drama
tt0021884,Horror
tt0021884,Sci-Fi
tt0021885,Crime
tt0021885,Drama
tt0021885,Romance
