"('mid',)","('pid',)"
tt0016630,nm0623640
tt0016630,nm0109209
tt0016630,nm0577650
tt0016641,nm0908753
tt0016641,nm0558923
tt0016641,nm0933133
tt0016641,nm0385012
tt0016641,nm0129721
tt0016654,nm0001196
tt0016654,nm0192325
tt0016669,nm0208691
tt0016669,nm0613860
tt0016669,nm0175902
tt0016669,nm0191956
tt0016690,nm0949995
tt0016690,nm0829330
tt0016690,nm0950224
tt0016690,nm0267868
tt0016822,nm0503777
tt0016822,nm0341185
tt0016822,nm0547938
tt0016822,nm0175902
tt0016822,nm0687566
tt0016847,nm0369458
tt0016847,nm0477515
tt0016847,nm0324473
tt0016884,nm0322227
tt0016884,nm0837183
tt0016884,nm0014703
tt0016884,nm0473134
tt0016884,nm0756226
tt0016895,nm0928514
tt0016895,nm0340599
tt0016895,nm0115669
tt0016895,nm0817809
tt0017048,nm0442704
tt0017048,nm0455938
tt0017048,nm0409467
tt0017048,nm2396540
tt0017048,nm1273449
tt0017075,nm0523269
tt0017075,nm0822627
tt0017075,nm0000033
tt0017128,nm0331003
tt0017128,nm0953515
tt0017136,nm0902376
tt0017136,nm0000485
tt0017271,nm0474487
tt0017271,nm0518711
tt0017271,nm0794531
tt0017350,nm0370426
tt0017350,nm0547966
tt0017416,nm0401423
tt0017416,nm0547966
tt0017416,nm0208691
tt0017416,nm0547938
tt0017416,nm0809548
tt0017423,nm0242802
tt0017423,nm0547938
tt0017423,nm0837989
tt0017448,nm0596942
tt0017448,nm0562346
tt0017449,nm0087658
tt0017449,nm0267913
tt0017449,nm0014703
tt0017463,nm0924268
tt0017463,nm0831958
tt0017463,nm0817809
tt0017463,nm0102167
tt0017534,nm0775419
tt0017534,nm0267868
tt0017668,nm0562346
tt0017668,nm0752193
tt0017668,nm0005713
tt0017739,nm0929616
tt0017739,nm0384616
tt0017739,nm0169879
tt0017739,nm0031033
tt0017739,nm0002771
tt0017765,nm0361882
tt0017765,nm0289381
tt0017825,nm0171887
tt0017825,nm0637040
tt0017825,nm0822627
tt0017843,nm0002021
tt0017843,nm0822627
tt0017925,nm0000036
tt0017925,nm0115669
tt0017925,nm0090213
tt0017925,nm0807667
tt0017925,nm0685904
tt0017925,nm0809548
tt0017961,nm0575963
tt0018033,nm0323325
tt0018033,nm0521002
tt0018033,nm0510024
tt0018033,nm0547938
tt0018037,nm0710723
tt0018037,nm0169879
tt0018037,nm0418772
tt0018051,nm0340599
tt0018051,nm0928514
tt0018051,nm0188274
tt0018051,nm0623640
tt0018051,nm0337914
tt0018054,nm0534221
tt0018066,nm0953515
tt0018097,nm0115218
tt0018097,nm0950150
tt0018097,nm0267868
tt0018107,nm0866243
tt0018107,nm0014703
tt0018107,nm0191956
tt0018107,nm0600641
tt0018192,nm0304098
tt0018217,nm0001178
tt0018217,nm0017893
tt0018217,nm0715487
tt0018311,nm0547966
tt0018311,nm0089342
tt0018311,nm0267868
tt0018328,nm0000033
tt0018328,nm0720904
tt0018379,nm0834944
tt0018379,nm0322227
tt0018379,nm0385012
tt0018379,nm0129721
tt0018379,nm0615868
tt0018440,nm0204608
tt0018440,nm0493071
tt0018440,nm0506797
tt0018440,nm0817809
tt0018451,nm6753657
tt0018451,nm0014703
tt0018451,nm0191956
tt0018451,nm0232704
tt0018451,nm0583431
tt0018455,nm0562346
tt0018455,nm0837183
tt0018455,nm0385012
tt0018455,nm0129721
tt0018471,nm0770337
tt0018471,nm0267868
tt0018505,nm0794531
tt0018505,nm0740282
tt0018515,nm0810290
tt0018515,nm0306875
tt0018515,nm0569213
tt0018515,nm0547938
tt0018526,nm0299153
tt0018526,nm0001328
tt0018526,nm0372942
tt0018526,nm0498133
tt0018526,nm0547938
tt0018526,nm0903049
tt0018528,nm0115218
tt0018528,nm0950150
tt0018528,nm0267868
tt0018528,nm0727497
tt0018578,nm0766850
tt0018578,nm0521002
tt0018578,nm0510024
tt0018578,nm0425456
tt0018578,nm0604526
tt0018618,nm0930082
tt0018618,nm0788082
tt0018618,nm0267868
tt0018618,nm0821716
tt0018684,nm0322227
tt0018684,nm0876432
tt0018737,nm0917149
tt0018737,nm0883335
tt0018737,nm0281567
tt0018737,nm0655065
tt0018742,nm0115669
tt0018742,nm0513858
tt0018742,nm0267868
tt0018742,nm0090213
tt0018742,nm0604526
tt0018756,nm0000033
tt0018756,nm0616601
tt0018756,nm0822627
tt0018770,nm0000590
tt0018770,nm0000320
tt0018770,nm0258477
tt0018773,nm0000122
tt0018806,nm0896542
tt0018806,nm0915875
tt0018806,nm0267868
tt0018806,nm0066946
tt0018839,nm0299154
tt0018839,nm0766850
tt0018839,nm0425456
tt0018876,nm0035199
tt0018876,nm0000033
tt0018876,nm0402855
tt0018876,nm0497961
tt0018876,nm0680914
tt0018876,nm0822627
tt0019071,nm0083742
tt0019071,nm0329312
tt0019071,nm0523932
tt0019071,nm0542534
tt0019071,nm0903049
tt0019074,nm0067584
tt0019074,nm0193704
tt0019074,nm0267868
tt0019074,nm0576035
tt0019109,nm0656264
tt0019109,nm0522871
tt0019109,nm0715723
tt0019130,nm0401076
tt0019130,nm0018470
tt0019130,nm0031033
tt0019130,nm0572610
tt0019130,nm0911709
tt0019130,nm0926417
tt0019195,nm0938282
tt0019195,nm0580648
tt0019195,nm0014703
tt0019195,nm0191956
tt0019195,nm0547966
tt0019237,nm0522674
tt0019237,nm0014703
tt0019237,nm0191956
tt0019254,nm0217865
tt0019254,nm0003433
tt0019258,nm0175194
tt0019258,nm0817809
tt0019286,nm0109283
tt0019286,nm0637210
tt0019304,nm0179993
tt0019304,nm0028636
tt0019304,nm0592217
tt0019304,nm0066946
tt0019344,nm0560857
tt0019344,nm0909825
tt0019344,nm0837989
tt0019344,nm0173303
tt0019344,nm0709888
tt0019379,nm0426515
tt0019379,nm0821716
tt0019379,nm0817809
tt0019400,nm0604526
tt0019400,nm0696788
tt0019400,nm0394267
tt0019412,nm0340599
tt0019412,nm0623640
tt0019412,nm0736911
tt0019412,nm0090213
tt0019412,nm0218626
tt0019412,nm0397834
tt0019412,nm0809548
tt0019415,nm0902376
tt0019415,nm0000485
tt0019421,nm0361882
tt0019429,nm0388743
tt0019429,nm0458934
tt0019429,nm0843364
tt0019558,nm0139714
tt0019558,nm0002233
tt0019563,nm0165470
tt0019563,nm0212240
tt0019563,nm0267868
tt0019563,nm0330370
tt0019563,nm0950150
tt0019585,nm0547966
tt0019585,nm0769090
tt0019591,nm0035158
tt0019591,nm0014703
tt0019591,nm0191956
tt0019644,nm0113103
tt0019644,nm0287124
tt0019646,nm0077220
tt0019646,nm0478303
tt0019646,nm0957652
tt0019649,nm0235590
tt0019655,nm0562004
tt0019655,nm0844459
tt0019655,nm0889172
tt0019702,nm0071657
tt0019702,nm0000033
tt0019702,nm0506349
tt0019702,nm0003836
tt0019729,nm0332539
tt0019729,nm0396876
tt0019729,nm0322299
tt0019729,nm0049898
tt0019735,nm0573937
tt0019735,nm0397608
tt0019760,nm0895048
tt0019777,nm0442151
tt0019777,nm0753452
tt0019788,nm0007973
tt0019788,nm0108697
tt0019788,nm0340599
tt0019788,nm0573865
tt0019788,nm0853130
tt0019811,nm0627454
tt0019811,nm0886861
tt0019811,nm0325135
tt0019811,nm0092015
tt0019811,nm0014703
tt0019811,nm0191956
tt0019823,nm0430756
tt0019823,nm0030860
tt0019823,nm0662462
tt0019901,nm0902376
tt0019901,nm0000485
tt0019959,nm0875746
tt0019959,nm0770337
tt0019959,nm0725823
tt0019959,nm0896542
tt0019959,nm0014703
tt0019993,nm0090213
tt0019993,nm0394267
tt0019993,nm0267868
tt0020018,nm0377958
tt0020018,nm0058179
tt0020018,nm0809548
tt0020030,nm0940689
tt0020030,nm0001196
tt0020030,nm0241416
tt0020030,nm0192325
tt0020030,nm0195503
tt0020030,nm0245385
tt0020030,nm0724863
tt0020030,nm0733997
tt0020062,nm0767683
tt0020062,nm0473134
tt0020062,nm0014703
tt0020112,nm0883328
tt0020112,nm0093397
tt0020112,nm0944351
tt0020112,nm0151249
tt0020122,nm0095732
tt0020122,nm0129721
tt0020122,nm0385012
tt0020122,nm0397022
tt0020122,nm0876811
tt0020142,nm0128991
tt0020142,nm0822627
tt0020143,nm0886861
tt0020143,nm0821716
tt0020143,nm0881148
tt0020143,nm0267868
tt0020163,nm0000697
tt0020163,nm0802561
tt0020163,nm0802563
tt0020163,nm0880618
tt0020269,nm0071596
tt0020298,nm0002233
tt0020298,nm0014703
tt0020298,nm0322227
tt0020442,nm0513858
tt0020442,nm0656039
tt0020442,nm0394267
tt0020451,nm0017893
tt0020451,nm0001178
tt0020475,nm0127060
tt0020475,nm0503025
tt0020514,nm0332539
tt0020620,nm0070948
tt0020620,nm0175908
tt0020620,nm0515990
tt0020629,nm0718871
tt0020629,nm0027173
tt0020629,nm0007973
tt0020629,nm0028636
tt0020629,nm0837989
tt0020629,nm0031033
tt0020629,nm0587277
tt0020640,nm0442151
tt0020640,nm0753452
tt0020640,nm0436095
tt0020640,nm0748438
tt0020641,nm0547966
tt0020641,nm0642156
tt0020686,nm0547966
tt0020686,nm0267868
tt0020686,nm0281331
tt0020691,nm0263346
tt0020691,nm0102293
tt0020691,nm0668685
tt0020691,nm0692891
tt0020691,nm0909825
tt0020697,nm0509510
tt0020697,nm0903049
tt0020697,nm0935567
tt0020697,nm0542777
tt0020697,nm0958454
tt0020697,nm0901629
tt0020768,nm0504443
tt0020768,nm0896826
tt0020768,nm0651000
tt0020768,nm0129721
tt0020768,nm0385012
tt0020793,nm0696920
tt0020793,nm0002190
tt0020815,nm0766850
tt0020815,nm0869371
tt0020815,nm0001328
tt0020815,nm0589316
tt0020815,nm0011485
tt0020827,nm0663624
tt0020827,nm0342417
tt0020827,nm0780803
tt0020827,nm0576046
tt0020836,nm0114602
tt0020836,nm0742523
tt0020876,nm0340599
tt0020876,nm0169879
tt0020876,nm0115669
tt0020876,nm0012148
tt0020876,nm0623640
tt0020876,nm0809548
tt0020891,nm0548403
tt0020891,nm0817809
tt0020891,nm0090213
tt0020891,nm0394267
tt0020960,nm0624714
tt0020960,nm0545309
tt0020960,nm0261455
tt0020960,nm0066946
tt0021015,nm0639997
tt0021015,nm0000033
tt0021015,nm0720904
tt0021025,nm0750822
tt0021025,nm0522871
tt0021025,nm0531269
tt0021040,nm0343228
tt0021040,nm0842485
tt0021079,nm0122446
tt0021079,nm0267020
tt0021079,nm0498133
tt0021079,nm0520501
tt0021079,nm0953123
tt0021106,nm0534221
tt0021106,nm0881148
tt0021106,nm0417646
tt0021148,nm0600641
tt0021148,nm0547966
tt0021148,nm0413821
tt0021153,nm0883328
tt0021153,nm0618169
tt0021153,nm0850483
tt0021153,nm0840091
tt0021153,nm0493071
tt0021156,nm0299154
tt0021156,nm0897109
tt0021165,nm0199304
tt0021165,nm0801026
tt0021165,nm0000033
tt0021165,nm0616601
tt0021165,nm0720904
tt0021189,nm0442151
tt0021189,nm0175091
tt0021189,nm0562372
tt0021189,nm0628339
tt0021309,nm0634113
tt0021309,nm0635163
tt0021309,nm0724858
tt0021309,nm0823089
tt0021309,nm0823088
tt0021309,nm0324473
tt0021331,nm0168413
tt0021409,nm0163229
tt0021505,nm0730317
tt0021508,nm0914362
tt0021508,nm0000406
tt0021508,nm0171874
tt0021542,nm0423745
tt0021542,nm0883335
tt0021542,nm0483849
tt0021549,nm0570305
tt0021549,nm0205244
tt0021549,nm0175902
tt0021549,nm0205363
tt0021549,nm0711657
tt0021571,nm0235590
tt0021577,nm0000320
tt0021577,nm0198557
tt0021577,nm0211381
tt0021622,nm0507760
tt0021622,nm0397608
tt0021633,nm0139321
tt0021633,nm0425615
tt0021633,nm0547966
tt0021635,nm0217568
tt0021635,nm0549217
tt0021635,nm0121667
tt0021635,nm0796766
tt0021636,nm0461348
tt0021636,nm0715723
tt0021636,nm0775419
tt0021636,nm0850483
tt0021668,nm0081788
tt0021668,nm0822219
tt0021668,nm0175194
tt0021668,nm0458934
tt0021668,nm0629580
tt0021673,nm0321891
tt0021673,nm0109148
tt0021730,nm0547966
tt0021730,nm0875746
tt0021730,nm0549905
tt0021739,nm0478579
tt0021739,nm0719756
tt0021739,nm0320630
tt0021739,nm0610207
tt0021746,nm0272209
tt0021746,nm0261455
tt0021746,nm0765037
tt0021749,nm0000122
tt0021749,nm0139714
tt0021749,nm0188357
tt0021750,nm0358591
tt0021750,nm0545730
tt0021750,nm0308177
tt0021770,nm0281331
tt0021770,nm0629240
tt0021770,nm0589316
tt0021778,nm0746168
tt0021778,nm0001076
tt0021800,nm0748034
tt0021800,nm0903049
tt0021814,nm0831290
tt0021814,nm0213019
tt0021814,nm0049721
tt0021814,nm0287124
tt0021814,nm0111313
tt0021814,nm0115218
tt0021814,nm0169606
tt0021814,nm0614225
tt0021814,nm0826873
tt0021814,nm0828574
tt0021815,nm0831290
tt0021815,nm0273239
tt0021815,nm0049721
tt0021815,nm0213019
tt0021815,nm0287124
tt0021815,nm0614225
tt0021818,nm0106517
tt0021818,nm0486797
tt0021818,nm0883335
tt0021818,nm0049462
tt0021873,nm0919380
tt0021873,nm0604526
tt0021873,nm0520501
tt0021874,nm0403595
tt0021874,nm0950224
tt0021884,nm0049721
tt0021884,nm0791217
tt0021884,nm0916811
tt0021884,nm0287124
tt0021884,nm0267020
tt0021884,nm0770337
tt0021884,nm0282984
tt0021884,nm0751246
tt0021885,nm0820700
tt0021885,nm0306731
tt0021885,nm0242957
tt0021885,nm0267913
tt0021885,nm0528351
tt0021885,nm0533102
tt0021890,nm0372942
tt0021890,nm0531269
tt0021890,nm0179993
tt0021890,nm0496468
tt0021985,nm0639130
tt0021985,nm0951866
tt0021992,nm0280223
tt0021992,nm0728307
tt0021992,nm0857710
tt0022000,nm0221865
tt0022000,nm0114095
tt0022000,nm0376575
tt0022000,nm0564970
tt0022017,nm3673346
tt0022017,nm0353035
tt0022017,nm0483849
tt0022017,nm0653118
tt0022017,nm0710888
tt0022017,nm0883335
tt0022017,nm3673289
tt0022054,nm0766850
tt0022074,nm0414885
tt0022074,nm0233791
tt0022074,nm0618169
tt0022074,nm0883328
tt0022074,nm0710723
tt0022074,nm0523932
tt0022074,nm1250333
tt0022080,nm0670643
tt0022100,nm0902376
tt0022100,nm0000485
tt0022100,nm0414825
tt0022111,nm0358591
tt0022111,nm0298494
tt0022111,nm0391763
tt0022111,nm0399203
tt0022125,nm0656528
tt0022150,nm0077278
tt0022150,nm0347058
tt0022150,nm0163229
tt0022153,nm0842485
tt0022153,nm0576046
tt0022153,nm0728307
tt0022158,nm0673279
tt0022158,nm0426953
tt0022158,nm0790654
tt0022158,nm0790383
tt0022158,nm5030661
tt0022183,nm0935475
tt0022183,nm0198887
tt0022183,nm0171372
tt0022208,nm0673948
tt0022208,nm0308177
tt0022208,nm0448981
tt0022236,nm0298494
tt0022236,nm0920465
tt0022251,nm0907778
tt0022251,nm0491048
tt0022264,nm0503693
tt0022264,nm0562372
tt0022264,nm0576046
tt0022268,nm0151310
tt0022268,nm0161428
tt0022268,nm0728307
tt0022268,nm0842485
tt0022276,nm0783629
tt0022276,nm0168829
tt0022279,nm0002021
tt0022279,nm0473134
tt0022279,nm0770337
tt0022286,nm0321891
tt0022286,nm0109148
tt0022286,nm0857710
tt0022335,nm0104355
tt0022335,nm0413711
tt0022335,nm0298494
tt0022395,nm0303335
tt0022395,nm0000033
tt0022395,nm0720904
tt0022403,nm0321891
tt0022403,nm0109148
tt0022403,nm0399203
tt0022403,nm0413711
tt0022436,nm0723418
tt0022453,nm0075960
tt0022453,nm0168829
tt0022453,nm0186118
tt0022453,nm0280223
tt0022453,nm0306731
tt0022453,nm0330390
tt0022453,nm0446403
tt0022453,nm0545309
tt0022453,nm0548403
tt0022453,nm0680345
tt0022453,nm0780803
tt0022453,nm0875746
tt0022453,nm0892045
tt0022453,nm0896542
tt0022454,nm0238900
tt0022454,nm0018470
tt0022458,nm0003638
tt0022458,nm0280904
tt0022458,nm0880618
tt0022485,nm0457560
tt0022485,nm0633792
tt0022489,nm0369036
tt0022489,nm0369038
tt0022489,nm0369093
tt0022489,nm0883328
tt0022550,nm0792845
tt0022550,nm0506349
tt0022550,nm0715723
tt0022599,nm0163229
tt0022626,nm0728307
tt0022628,nm0413590
tt0022628,nm0058129
tt0022628,nm0341486
tt0022628,nm0820700
tt0022639,nm0495728
tt0022639,nm0188544
tt0022639,nm0168829
tt0022639,nm0892045
tt0022639,nm0933133
tt0022660,nm0122446
tt0022660,nm0372942
tt0022685,nm0261455
tt0022685,nm0340799
tt0022685,nm0199304
tt0022689,nm0876445
tt0022689,nm0740537
tt0022689,nm0875746
tt0022689,nm0695292
tt0022694,nm0049462
tt0022694,nm0562346
tt0022694,nm2446045
tt0022694,nm0726166
tt0022698,nm0299154
tt0022698,nm0491076
tt0022698,nm0903049
tt0022700,nm0547966
tt0022700,nm0002616
tt0022700,nm0817809
tt0022718,nm0268988
tt0022718,nm0719756
tt0022718,nm0884152
tt0022725,nm0744565
tt0022725,nm0075351
tt0022725,nm0710723
tt0022725,nm0883328
tt0022735,nm0338233
tt0022735,nm0472049
tt0022753,nm0175194
tt0022753,nm0458934
tt0022753,nm0247440
tt0022753,nm0646163
tt0022753,nm0604959
tt0022753,nm0093397
tt0022753,nm0454513
tt0022753,nm0781895
tt0022787,nm0076368
tt0022787,nm0233593
tt0022787,nm0485676
tt0022792,nm0109148
tt0022792,nm0124002
tt0022792,nm0321891
tt0022792,nm0001328
tt0022792,nm0589316
tt0022802,nm0413711
tt0022802,nm0594594
tt0022802,nm0855850
tt0022802,nm0953123
tt0022827,nm0850927
tt0022827,nm0049898
tt0022827,nm0174106
tt0022827,nm0587867
tt0022827,nm0742523
tt0022834,nm0318105
tt0022834,nm0168829
tt0022834,nm0048758
tt0022835,nm0388755
tt0022835,nm0372698
tt0022835,nm0829044
tt0022867,nm0394750
tt0022867,nm0394746
tt0022867,nm0462949
tt0022867,nm0532561
tt0022877,nm0656528
tt0022879,nm0322227
tt0022879,nm0308177
tt0022879,nm0002133
tt0022879,nm0821716
tt0022905,nm0001008
tt0022905,nm0842485
tt0022913,nm0730317
tt0022913,nm0325135
tt0022913,nm0330390
tt0022913,nm0090213
tt0022913,nm0531269
tt0022913,nm0941138
tt0022958,nm0062139
tt0022958,nm0237033
tt0022958,nm0049462
tt0022958,nm0941138
tt0022991,nm0383304
tt0022991,nm0304321
tt0022991,nm0649913
tt0023027,nm0436095
tt0023027,nm0748438
tt0023027,nm0673279
tt0023027,nm0426953
tt0023027,nm0790654
tt0023028,nm0589316
tt0023028,nm0522674
tt0023028,nm0545309
tt0023028,nm0272646
tt0023042,nm0122859
tt0023042,nm0337914
tt0023042,nm0391763
tt0023042,nm0316807
tt0023049,nm0028826
tt0023049,nm0083125
tt0023049,nm0093456
tt0023049,nm0102167
