"('mid',)","('titleType',)","('primaryTitle',)","('originalTitle',)","('isAdult',)","('startYear',)","('endYear',)","('runtimeMinutes',)"
tt0182251,movie,When One Falls in Love,Jab Pyaar Kisise Hota Hai,0,1998,,154
tt0182295,movie,Love's Labour's Lost,Love's Labour's Lost,0,2000,,93
tt0182503,movie,Turist Ömer Uzay Yolu'nda,Turist Ömer Uzay Yolu'nda,0,1973,,72
tt0182508,movie,Urbania,Urbania,0,2000,,103
tt0182730,movie,The Lady and the Tramp,I arhontisa ki o alitis,0,1968,,109
tt0182764,movie,Battal Gazi'nin Oglu,Battal Gazi'nin Oglu,0,1974,,70
tt0182765,movie,Battal Gazi Destani,Battal Gazi Destani,0,1971,,97
tt0182789,movie,Bicentennial Man,Bicentennial Man,0,1999,,132
tt0182916,movie,Gol Krali,Gol Krali,0,1981,,81
tt0182996,movie,Don't Go in the Woods,Don't Go in the Woods,0,1981,,82
tt0183306,movie,Jinnah,Jinnah,0,1998,,110
tt0183338,movie,Kara Murat: Fatih'in Fermani,Kara Murat: Fatih'in Fermani,0,1973,,88
tt0183459,movie,Maden,Maden,0,1978,,90
tt0183503,movie,Me Myself I,Me Myself I,0,1999,,104
tt0183505,movie,"Me, Myself & Irene","Me, Myself & Irene",0,2000,,116
tt0183523,movie,Mission to Mars,Mission to Mars,0,2000,,114
tt0183570,movie,I neraida kai to palikari,I neraida kai to palikari,0,1969,,102
tt0183649,movie,Phone Booth,Phone Booth,0,2002,,81
tt0183659,movie,Pollock,Pollock,0,2000,,122
tt0183790,movie,A Knight's Tale,A Knight's Tale,0,2001,,132
tt0183869,movie,Taxi 2,Taxi 2,0,2000,,88
tt0183992,movie,Adult Behavior,Vuxna människor,0,1999,,91
tt0184005,movie,Werner - Volles Rooäää!!!,Werner - Volles Rooäää!!!,0,1999,,77
tt0184316,movie,There Was Once a King...,Byl jednou jeden král...,0,1955,,107
tt0184503,movie,Gamera 3: Revenge of Iris,Gamera 3: Jashin kakusei,0,1999,,108
tt0184526,movie,Gorgeous,Boh lei chun,0,1999,,121
tt0184756,movie,Mr. Muhsin,Muhsin Bey,0,1987,,119
tt0184791,movie,O,O,0,2001,,95
tt0184858,movie,Reindeer Games,Reindeer Games,0,2000,,104
tt0184872,movie,Rurouni Kenshin: Requiem for the Ishin Patriots,Rurôni Kenshin: Ishin shishi e no Requiem,0,1997,,90
tt0184894,movie,Shanghai Noon,Shanghai Noon,0,2000,,110
tt0184907,movie,Snow Day,Snow Day,0,2000,,89
tt0184950,movie,"Thou-Vou Bald Agent, Operation Havoc",'Thou-Vou' Falakros praktor - Epiheirisis: Gis madiam,0,1969,,94
tt0185014,movie,Wonder Boys,Wonder Boys,0,2000,,107
tt0185101,movie,Pups,Pups,0,1999,,99
tt0185125,movie,All About My Mother,Todo sobre mi madre,0,1999,,101
tt0185183,movie,Battlefield Earth,Battlefield Earth,0,2000,,118
tt0185284,movie,Do Not Disturb,Do Not Disturb,0,1999,,94
tt0185335,movie,Ghulam-E-Musthafa,Ghulam-E-Musthafa,0,1997,,162
tt0185371,movie,House on Haunted Hill,House on Haunted Hill,0,1999,,93
tt0185431,movie,Little Nicky,Little Nicky,0,2000,,90
