"('mid',)","('pid',)"
tt0025455,nm0102908
tt0025456,nm0280904
tt0025464,nm0886754
tt0025464,nm0176699
tt0025464,nm0002030
tt0025465,nm0260871
tt0025493,nm0523932
tt0025536,nm0562004
tt0025586,nm0188669
tt0025607,nm0092915
tt0025610,nm0896542
tt0025617,nm0092915
tt0025699,nm0292134
tt0025740,nm0113284
tt0025746,nm0903049
tt0025748,nm0949597
tt0025830,nm0102908
tt0025862,nm0316539
tt0025862,nm0570985
tt0025862,nm0176699
tt0025878,nm0886754
tt0025898,nm0719756
tt0025907,nm0281808
tt0025913,nm0726166
tt0025919,nm0001328
tt0025929,nm0654868
tt0025948,nm0176699
tt0025948,nm0001328
tt0025948,nm0920074
tt0026017,nm0448915
tt0026029,nm0000033
tt0026056,nm0828419
tt0026071,nm0113284
tt0026073,nm0828419
tt0026097,nm0001328
tt0026097,nm0943758
tt0026104,nm0541149
tt0026123,nm0624756
tt0026126,nm0395023
tt0026129,nm0562845
tt0026138,nm0001843
tt0026144,nm0886754
tt0026144,nm0215877
tt0026164,nm0920074
tt0026174,nm0002031
tt0026197,nm0003422
tt0026198,nm0782597
tt0026198,nm0532187
tt0026199,nm0864006
tt0026205,nm0307819
tt0026246,nm0903049
tt0026249,nm0001124
tt0026252,nm0191899
tt0026261,nm0337586
tt0026266,nm0002030
tt0026267,nm0102908
tt0026276,nm0903049
tt0026388,nm0002031
tt0026393,nm0445033
tt0026406,nm0163229
tt0026413,nm0337586
tt0026421,nm0000923
tt0026424,nm0943758
tt0026452,nm0500552
tt0026519,nm0782682
tt0026529,nm0000406
tt0026564,nm0275494
tt0026605,nm0178260
tt0026605,nm0774325
tt0026641,nm0124877
tt0026643,nm0368871
tt0026663,nm0005713
tt0026676,nm0001211
tt0026676,nm0115669
tt0026685,nm0115218
tt0026714,nm0226189
tt0026714,nm0718121
tt0026725,nm0092915
tt0026739,nm0924065
tt0026752,nm0515979
tt0026768,nm0886754
tt0026768,nm0502752
tt0026778,nm0939992
tt0026778,nm0332539
tt0026840,nm0503777
tt0026866,nm0368871
tt0026912,nm0484645
tt0026914,nm0281808
tt0026942,nm0782682
tt0026955,nm0564970
tt0026972,nm0250038
tt0026983,nm0390226
tt0026983,nm0681635
tt0027029,nm0445033
tt0027040,nm0731596
tt0027042,nm0000406
tt0027067,nm0002030
tt0027075,nm0176699
tt0027075,nm0502752
tt0027076,nm0945537
tt0027118,nm0654868
tt0027125,nm0762263
tt0027194,nm0908234
tt0027214,nm0000406
tt0027260,nm0886754
tt0027286,nm0954394
tt0027300,nm0503777
tt0027300,nm0002031
tt0027307,nm0793646
tt0027336,nm0719756
tt0027342,nm0245213
tt0027367,nm0562845
tt0027367,nm0002031
tt0027376,nm0736778
tt0027376,nm0395023
tt0027376,nm0730018
tt0027387,nm0215877
tt0027407,nm0445033
tt0027413,nm0045800
tt0027421,nm0124877
tt0027438,nm0002031
tt0027439,nm0480046
tt0027440,nm0401680
tt0027441,nm0401680
tt0027442,nm0928781
tt0027459,nm0001328
tt0027459,nm0943758
tt0027459,nm0744514
tt0027478,nm0719756
tt0027489,nm0656528
tt0027515,nm0097648
tt0027521,nm0115218
tt0027532,nm0943758
tt0027545,nm0385171
tt0027552,nm0138893
tt0027593,nm0731596
tt0027623,nm0826873
tt0027623,nm0853028
tt0027630,nm0762263
tt0027652,nm0000485
tt0027657,nm0092915
tt0027664,nm0587277
tt0027672,nm0003226
tt0027686,nm0045800
tt0027687,nm0337586
tt0027690,nm0113284
tt0027697,nm0090007
tt0027698,nm0502752
tt0027752,nm0654868
tt0027796,nm0596410
tt0027800,nm0385171
tt0027869,nm0782707
tt0027884,nm0176699
tt0027893,nm0188669
tt0027902,nm0454771
tt0027914,nm0886754
tt0027938,nm0829038
tt0027948,nm0000406
tt0027948,nm0329574
tt0027969,nm0564971
tt0027969,nm0572851
tt0027969,nm0564970
tt0027977,nm0000122
tt0027996,nm0001008
tt0028010,nm0478441
tt0028021,nm0003226
tt0028070,nm0480046
tt0028096,nm0562845
tt0028108,nm0001124
tt0028118,nm0191899
tt0028138,nm0397678
tt0028141,nm0000406
tt0028167,nm0466099
tt0028174,nm0356931
tt0028201,nm0347589
tt0028203,nm0002030
tt0028207,nm0886754
tt0028212,nm0000033
tt0028216,nm0886754
tt0028219,nm0226189
tt0028231,nm0000033
tt0028249,nm0001843
tt0028313,nm0226189
tt0028315,nm0782682
tt0028330,nm0280463
tt0028333,nm0828419
tt0028345,nm0861703
tt0028345,nm0268513
tt0028345,nm0570985
tt0028345,nm0782707
tt0028345,nm0920074
tt0028346,nm0309163
tt0028355,nm0092915
tt0028356,nm0943758
tt0028358,nm0580017
tt0028373,nm0467396
tt0028401,nm0368871
tt0028478,nm0002031
tt0028505,nm0113284
tt0028510,nm0942611
tt0028575,nm0523932
tt0028597,nm0564970
tt0028661,nm0002188
tt0028665,nm0215877
tt0028683,nm0002030
tt0028691,nm0281808
tt0028707,nm0285946
tt0028708,nm0401680
tt0028709,nm0285946
tt0028737,nm0562004
tt0028739,nm0113284
tt0028739,nm0532561
tt0028757,nm0828419
tt0028767,nm0767701
tt0028772,nm0939992
tt0028773,nm0943758
tt0028804,nm0861703
tt0028816,nm0500552
tt0028818,nm0003836
tt0028842,nm0045800
tt0028872,nm0397678
tt0028944,nm0291548
tt0028944,nm0532561
tt0028944,nm0939992
tt0028944,nm0281808
tt0028950,nm0719756
tt0028988,nm0245385
tt0029002,nm0097648
tt0029030,nm0000406
tt0029047,nm0454771
tt0029058,nm0562845
tt0029080,nm0002031
tt0029081,nm0829038
tt0029081,nm0054787
tt0029087,nm0275494
tt0029118,nm0524995
tt0029120,nm0092915
tt0029120,nm0002188
tt0029120,nm0280463
